time,ideal_x,ideal_y,ideal_theta,ideal_speed,noisy_x,noisy_y,noisy_theta,noisy_speed,filtered_x,filtered_y,filtered_theta,filtered_speed,desired_speed,desired_y,steering_cmd,speed_cmd
2.00556149,0.016559998289936692,7.01400150593601e-06,0.0005824604743476,0.11999999996611821,0.02530813993952087,0.013294606888611882,0.001282612568408325,0.128856772988943,0.02224290841780668,-0.002579755625974728,0.0029785805155658363,0.128856772988943,0.12,0.0,0.0022780688122532684,0.12
2.055558537,0.020639997548437244,9.473083685496515e-06,0.0006228684282054368,0.1199999999996891,0.03588780130158281,0.00011087597064951804,0.004486713387901039,0.09700737614085711,0.02789597042179392,-0.001973623929658341,0.002798084921507909,0.09700737614085711,0.12,0.0,-0.0003237220221071816,0.12
2.105657299,0.028799995952238398,1.457667745190545e-05,0.0006058313807918274,0.11999999999970472,0.044404994542997275,0.003241271890758719,0.0032213461670820005,0.1153997851054827,0.034599048827579956,-0.0008293471568255925,0.003428183691663324,0.1153997851054827,0.12,0.0,-0.003105286380666281,0.12
2.155578267,0.03287999526558045,1.6942887601212962e-05,0.0005581210814517395,0.1199999999996995,0.05591313349574821,-0.005810397754581704,0.004749394950675045,0.14051040961630293,0.04479443493039004,-0.003769241580469527,0.0005633507589102855,0.14051040961630293,0.12,0.0,0.0019960600427411435,0.12
2.205577209,0.03695999462046611,1.923715800586719e-05,0.0005744368535985403,0.11999999999969639,0.034957735538950346,-0.010851292034867184,-0.01050090200639421,0.1345166858011391,0.046297718894048955,-0.005297102613609318,-0.0012949092679472984,0.1345166858011391,0.12,0.0,0.007105637083104905,0.12
2.255603833,0.04511999282693314,2.462295437607332e-05,0.0007825126672147359,0.11999999999969328,0.0774931322309664,-0.009749884939440822,0.001689691604058668,0.140227938829477,0.05978480065765151,-0.0056862597813130775,-0.0013115425416350894,0.140227938829477,0.12,0.0,0.008772095300254096,0.12
2.305810047,0.049199991322747307,2.8121722101994102e-05,0.0009364359590360272,0.1199999999996912,0.05589850588202916,0.009531896769204766,-0.0011436691942173025,0.1276169076215761,0.06239367980436595,-0.0024566434495362104,-0.001129709127648242,0.1276169076215761,0.12,0.0,0.00742491399655292,0.12
2.355555233,0.05735998639188321,3.706407629403555e-05,0.0012204530223239212,0.1199999999996912,0.027683553821805405,0.006097690976092164,0.0008513064755066887,0.12614400784725283,0.05855199360268014,0.0035237103300649678,-1.949082697000668e-05,0.12614400784725283,0.12,0.0,-0.0009666664663020954,0.12
2.4055792,0.06143998329641751,4.2089865497379464e-05,0.001228599265264685,0.11999999999968702,0.06468408407296043,-0.019052761929865575,0.0003725834444336852,0.13006098896543938,0.06339333370131653,-0.0012679863911111032,-4.977789332878146e-05,0.13006098896543938,0.12,0.0,-0.0006728786744746627,0.12
2.455558285,0.06959997746059007,5.184808933805329e-05,0.0011858155900126965,0.11999999999968702,0.07868586904829403,0.03786240874415366,0.017689854447889338,0.09320061458037412,0.07210293766175396,0.0067236300179238815,0.003549454151790213,0.09320061458037412,0.12,0.0,-0.006453678857049422,0.12
2.506359366,0.07367997467262433,5.661680187746811e-05,0.0011190819695119521,0.11999999999968702,0.08265174605297275,-0.01353855639174353,-0.0005830212421501337,0.11924601527965328,0.07782373374502943,0.002431370955221818,0.002000385250040535,0.11924601527965328,0.12,0.0,-0.008786454587487402,0.12
2.556433035,0.07775997250120371,6.082068751654051e-05,0.0009434901140716362,0.11999999999968702,0.1014102230434865,0.00625272849831407,0.005802183462690345,0.10266145510967509,0.08662625939136,0.0032557108855385815,0.002789164883111421,0.10266145510967509,0.12,0.0,-0.008424683400839659,0.12
2.605712176,0.08183997095961427,6.436305470852026e-05,0.0007921533772313965,0.11999999999968702,0.06578161558312874,-0.02665540216111155,0.011267425528134072,0.12348560361854523,0.08710348097212961,-0.0030615676761742965,0.0038673900128009244,0.12348560361854523,0.12,0.0,-0.0056820422443805245,0.12
2.655884591,0.08591996991706552,6.72740878779852e-05,0.0006441929659313205,0.11999999999968076,0.0768748424284222,0.015016967710176804,-0.010602034908988032,0.10844818089330553,0.0883846707987303,0.0007650032843392004,0.00033186397007083877,0.10844818089330553,0.12,0.0,-0.002853566996789693,0.12
